name,courses,fees,ranking,location,scope,qualifications_required
PSG College of Technology,B.Tech AI,500000,50,Bangalore,Excellence in arts and humanities with a focus on women's education,10+2 with TNEA
PSG College of Technology,B.Tech AI,100000,15,Vellore,Known for mechanical engineering with strong industry ties,10+2 with Science stream
Saveetha Dental College,B.Tech,500000,50,Vellore,Offers diverse engineering programs with international exposure,10+2 with Science stream
Madras Christian College,B.E/B.Tech,500000,2,Kolkata,Offers diverse engineering programs with international exposure,10+2
NIT Trichy,B.E/B.Tech,1000000,50,Delhi,Offers diverse engineering programs with international exposure,10+2 with JEE Advanced
Osmania University,BDS,70000,15,Kolkata,Focus on sustainable engineering solutions,10+2 with Science stream
IIT Madras,B.A English,500000,15,Kolkata,Premier engineering education with global recognition,10+2 with JEE Advanced
Osmania University,B.Sc Computer Sci,700000,30,Kolkata,Renowned for science programs with excellent placement opportunities,10+2 with SRMJEEE
SRM Institute of Science and Technology,B.E/B.Tech,1500000,5,Mumbai,Focus on emerging technologies with industry collaborations,10+2 with JEE Advanced
PSG College of Technology,B.Sc Physics,3000000,3,Delhi,Offers cutting-edge research opportunities in AI,10+2 with TNEA
Delhi University,B.Com,200000,1,Vellore,Leading commerce college promoting women's empowerment through education,10+2 with NEET
Anna University,B.E/B.Tech,200000,30,Pune,Focus on emerging technologies with industry collaborations,10+2 with NEET
IIT Madras,MBA,3000000,10,Bangalore,Focus on emerging technologies with industry collaborations,10+2 with SRMJEEE
Ethiraj College for Women,BDS,500000,2,Pune,Known for mechanical engineering with strong industry ties,10+2
Delhi University,B.Tech,100000,30,Delhi,Focus on emerging technologies with industry collaborations,10+2 with NEET
BITS Pilani,B.E/B.Tech,3000000,4,Kolkata,Premier engineering education with global recognition,10+2 with JEE Advanced
Osmania University,B.Tech,700000,2,Delhi,Offers diverse engineering programs with international exposure,10+2 with Science stream
IIT Madras,B.Sc Computer Sci,700000,50,Chennai,Offers cutting-edge research opportunities in AI,10+2 with SRMJEEE
Loyola College,B.Tech,700000,1,Kolkata,Known for mechanical engineering with strong industry ties,10+2 with Science stream
Anna University,BDS,30000,30,Hyderabad,Focus on emerging technologies with industry collaborations,10+2 with Science stream
Madras Christian College,B.Com,200000,2,Kolkata,Excellence in arts and humanities with a focus on women's education,10+2 with JEE Advanced
Delhi University,M.Sc,700000,50,Jaipur,Renowned for science programs with excellent placement opportunities,10+2 with Science stream
BITS Pilani,MBA,100000,2,Pune,Focus on sustainable engineering solutions,10+2 with SRMJEEE
Madras Christian College,B.Tech,200000,20,Kolkata,Focus on sustainable engineering solutions,10+2
Ethiraj College for Women,M.Sc,50000,4,Mumbai,Top-ranked dental college with advanced clinical training,10+2 with Science stream
Loyola College,B.A English,3000000,5,Pune,Strong emphasis on research and innovation in engineering,10+2 with TNEA
Saveetha Dental College,BDS,700000,2,Hyderabad,Focus on emerging technologies with industry collaborations,10+2 with NEET
VIT Vellore,B.Sc Computer Sci,500000,1,Mumbai,Premier engineering education with global recognition,10+2 with VITEEE
Amity University,B.Sc Physics,30000,30,Bangalore,Focus on sustainable engineering solutions,10+2
Saveetha Dental College,M.Sc,1500000,3,Hyderabad,Top-ranked dental college with advanced clinical training,10+2 with JEE Advanced
SRM Institute of Science and Technology,B.Tech,30000,10,Chennai,Top-ranked dental college with advanced clinical training,10+2 with NEET
Ethiraj College for Women,M.Sc,200000,4,Bangalore,Renowned for science programs with excellent placement opportunities,10+2 with TNEA
Anna University,B.Com,50000,3,Bangalore,Top-ranked dental college with advanced clinical training,10+2 with TNEA
Ethiraj College for Women,B.Tech AI,1500000,3,Chennai,Offers a blend of traditional and modern science education,10+2 with VITEEE
Amity University,B.Tech AI,700000,5,Bangalore,Premier engineering education with global recognition,10+2 with JEE Advanced
Anna University,M.Sc,100000,10,Chennai,Offers cutting-edge research opportunities in AI,10+2 with Science stream
Delhi University,B.Tech,1000000,4,Kolkata,Premier engineering education with global recognition,10+2 with NEET
IIT Madras,B.E/B.Tech,3000000,10,Delhi,Offers diverse engineering programs with international exposure,10+2 with SRMJEEE
Delhi University,B.Sc Physics,200000,4,Pune,Focus on sustainable engineering solutions,10+2 with NEET
PSG College of Technology,B.E/B.Tech,700000,2,Delhi,Leading commerce college promoting women's empowerment through education,10+2 with Science stream
Osmania University,B.Sc Physics,30000,1,Bangalore,Known for mechanical engineering with strong industry ties,10+2 with NEET
Stella Maris College,B.Com,30000,100,Delhi,Renowned for science programs with excellent placement opportunities,10+2
BITS Pilani,BDS,70000,5,Mumbai,Known for mechanical engineering with strong industry ties,10+2 with Science stream
VIT Vellore,B.A English,700000,15,Bangalore,Known for mechanical engineering with strong industry ties,10+2 with Science stream
BITS Pilani,B.Tech,3000000,20,Mumbai,Known for mechanical engineering with strong industry ties,10+2 with JEE Advanced
Saveetha Dental College,B.Sc Physics,3000000,30,Jaipur,Known for mechanical engineering with strong industry ties,10+2 with TNEA
VIT Vellore,B.Tech AI,100000,5,Delhi,Premier engineering education with global recognition,10+2 with SRMJEEE
BITS Pilani,B.Sc Computer Sci,3000000,5,Jaipur,Focus on emerging technologies with industry collaborations,10+2 with VITEEE
SRM Institute of Science and Technology,B.Sc Computer Sci,100000,100,Mumbai,Top-ranked dental college with advanced clinical training,10+2
Saveetha Dental College,B.Tech,500000,1,Vellore,Known for mechanical engineering with strong industry ties,10+2 with SRMJEEE
Madras Christian College,B.Com,200000,2,Mumbai,Offers diverse engineering programs with international exposure,10+2
Delhi University,B.Sc Computer Sci,30000,30,Hyderabad,Offers a blend of traditional and modern science education,10+2 with NEET
Saveetha Dental College,M.Sc,1500000,20,Pune,Top-ranked dental college with advanced clinical training,10+2 with TNEA
PSG College of Technology,B.Tech,30000,10,Vellore,Premier engineering education with global recognition,10+2 with TNEA
Stella Maris College,B.Sc Computer Sci,200000,2,Mumbai,Offers cutting-edge research opportunities in AI,10+2 with TNEA
VIT Vellore,B.A English,1000000,50,Vellore,Leading commerce college promoting women's empowerment through education,10+2 with TNEA
Delhi University,B.E/B.Tech,1000000,50,Bangalore,Leading commerce college promoting women's empowerment through education,10+2 with SRMJEEE
IIT Madras,B.Tech AI,50000,2,Mumbai,Focus on sustainable engineering solutions,10+2 with VITEEE
PSG College of Technology,B.E/B.Tech,3000000,15,Jaipur,Known for mechanical engineering with strong industry ties,10+2 with Science stream
Delhi University,B.Tech AI,200000,5,Delhi,Focus on sustainable engineering solutions,10+2 with VITEEE
PSG College of Technology,B.Tech,500000,15,Pune,Focus on emerging technologies with industry collaborations,10+2 with SRMJEEE
Loyola College,M.Sc,100000,15,Delhi,Leading commerce college promoting women's empowerment through education,10+2
Anna University,B.Com,500000,20,Hyderabad,Strong emphasis on research and innovation in engineering,10+2 with JEE Advanced
VIT Vellore,B.Sc Physics,50000,50,Chennai,Focus on sustainable engineering solutions,10+2 with NEET
NIT Trichy,BDS,1500000,1,Chennai,Strong emphasis on research and innovation in engineering,10+2 with SRMJEEE
Amity University,M.Sc,700000,100,Bangalore,Top-ranked dental college with advanced clinical training,10+2 with NEET
Madras Christian College,B.Sc Physics,70000,5,Jaipur,Top-ranked dental college with advanced clinical training,10+2 with TNEA
SRM Institute of Science and Technology,BDS,100000,30,Jaipur,Offers a blend of traditional and modern science education,10+2 with VITEEE
Amity University,B.E Mechanical,1000000,1,Mumbai,Excellence in arts and humanities with a focus on women's education,10+2 with NEET
Osmania University,B.E Mechanical,50000,15,Kolkata,Leading commerce college promoting women's empowerment through education,10+2 with JEE Advanced
Amity University,M.Sc,100000,4,Delhi,Offers diverse engineering programs with international exposure,10+2 with SRMJEEE
IIT Madras,B.E/B.Tech,3000000,10,Vellore,Premier engineering education with global recognition,10+2
Loyola College,B.Com,700000,20,Bangalore,Focus on emerging technologies with industry collaborations,10+2 with NEET
Madras Christian College,MBA,100000,10,Hyderabad,Renowned for science programs with excellent placement opportunities,10+2 with JEE Advanced
BITS Pilani,M.Sc,3000000,1,Kolkata,Focus on emerging technologies with industry collaborations,10+2
Saveetha Dental College,B.A English,200000,1,Delhi,Focus on emerging technologies with industry collaborations,10+2
SRM Institute of Science and Technology,MBA,500000,10,Pune,Known for mechanical engineering with strong industry ties,10+2 with VITEEE
Ethiraj College for Women,B.Com,1000000,10,Hyderabad,Offers diverse engineering programs with international exposure,10+2 with JEE Advanced
Anna University,BDS,100000,30,Mumbai,Renowned for science programs with excellent placement opportunities,10+2
Saveetha Dental College,B.A English,200000,10,Jaipur,Excellence in arts and humanities with a focus on women's education,10+2 with TNEA
IIT Madras,B.Tech,30000,5,Jaipur,Focus on emerging technologies with industry collaborations,10+2 with NEET
NIT Trichy,B.Tech,1500000,3,Bangalore,Offers cutting-edge research opportunities in AI,10+2 with TNEA
VIT Vellore,B.E/B.Tech,700000,5,Pune,Offers a blend of traditional and modern science education,10+2 with JEE Advanced
SRM Institute of Science and Technology,M.Sc,70000,30,Vellore,Known for mechanical engineering with strong industry ties,10+2 with VITEEE
Ethiraj College for Women,B.E Mechanical,100000,10,Mumbai,Known for mechanical engineering with strong industry ties,10+2 with TNEA
NIT Trichy,BDS,70000,2,Delhi,Offers diverse engineering programs with international exposure,10+2 with SRMJEEE
SRM Institute of Science and Technology,B.E/B.Tech,500000,100,Chennai,Focus on emerging technologies with industry collaborations,10+2 with NEET
BITS Pilani,B.Tech AI,1500000,30,Pune,Excellence in arts and humanities with a focus on women's education,10+2 with JEE Advanced
Madras Christian College,MBA,3000000,20,Hyderabad,Focus on emerging technologies with industry collaborations,10+2 with Science stream
Loyola College,B.E/B.Tech,50000,1,Delhi,Renowned for science programs with excellent placement opportunities,10+2 with JEE Advanced
BITS Pilani,B.Tech,700000,1,Kolkata,Strong emphasis on research and innovation in engineering,10+2 with TNEA
PSG College of Technology,B.Tech AI,70000,30,Bangalore,Excellence in arts and humanities with a focus on women's education,10+2 with NEET
Stella Maris College,B.E/B.Tech,50000,5,Delhi,Top-ranked dental college with advanced clinical training,10+2 with NEET
Madras Christian College,B.Tech,200000,30,Kolkata,Top-ranked dental college with advanced clinical training,10+2 with SRMJEEE
NIT Trichy,B.A English,200000,4,Chennai,Focus on emerging technologies with industry collaborations,10+2 with TNEA
Madras Christian College,BDS,30000,30,Mumbai,Focus on sustainable engineering solutions,10+2 with Science stream
PSG College of Technology,B.Com,70000,4,Pune,Offers cutting-edge research opportunities in AI,10+2 with NEET
Delhi University,B.E Mechanical,30000,4,Delhi,Leading commerce college promoting women's empowerment through education,10+2
IIT Madras,B.Tech AI,3000000,10,Pune,Focus on sustainable engineering solutions,10+2 with VITEEE
Amity University,B.A English,70000,15,Mumbai,Excellence in arts and humanities with a focus on women's education,10+2 with SRMJEEE
PSG College of Technology,B.E/B.Tech,1500000,20,Delhi,Strong emphasis on research and innovation in engineering,10+2 with SRMJEEE
NIT Trichy,B.Sc Computer Sci,50000,30,Hyderabad,Strong emphasis on research and innovation in engineering,10+2 with NEET
Amity University,B.E Mechanical,50000,50,Vellore,Known for mechanical engineering with strong industry ties,10+2 with JEE Advanced
Osmania University,B.Sc Computer Sci,700000,2,Coimbatore,Top-ranked dental college with advanced clinical training,10+2 with JEE Advanced
NIT Trichy,MBA,700000,2,Chennai,Excellence in arts and humanities with a focus on women's education,10+2
BITS Pilani,B.E Mechanical,30000,15,Coimbatore,Renowned for science programs with excellent placement opportunities,10+2 with SRMJEEE
PSG College of Technology,B.A English,70000,20,Jaipur,Focus on emerging technologies with industry collaborations,10+2 with JEE Advanced
Anna University,B.Sc Physics,1000000,1,Vellore,Known for mechanical engineering with strong industry ties,10+2 with SRMJEEE
NIT Trichy,MBA,500000,3,Hyderabad,Strong emphasis on research and innovation in engineering,10+2
Amity University,B.Tech,50000,20,Jaipur,Focus on emerging technologies with industry collaborations,10+2 with TNEA
Amity University,B.E Mechanical,30000,2,Hyderabad,Excellence in arts and humanities with a focus on women's education,10+2 with NEET
Ethiraj College for Women,B.E Mechanical,1500000,3,Jaipur,Offers diverse engineering programs with international exposure,10+2 with NEET
Saveetha Dental College,M.Sc,500000,100,Chennai,Leading commerce college promoting women's empowerment through education,10+2 with JEE Advanced
BITS Pilani,B.Sc Physics,1500000,20,Kolkata,Top-ranked dental college with advanced clinical training,10+2 with SRMJEEE
Amity University,B.Tech,3000000,30,Vellore,Offers diverse engineering programs with international exposure,10+2 with SRMJEEE
IIT Madras,B.E Mechanical,30000,20,Vellore,Premier engineering education with global recognition,10+2 with SRMJEEE
VIT Vellore,B.Sc Computer Sci,200000,100,Vellore,Premier engineering education with global recognition,10+2 with Science stream
VIT Vellore,B.E Mechanical,3000000,20,Mumbai,Focus on sustainable engineering solutions,10+2 with SRMJEEE
PSG College of Technology,M.Sc,30000,1,Chennai,Offers diverse engineering programs with international exposure,10+2 with JEE Advanced
VIT Vellore,BDS,200000,50,Hyderabad,Focus on sustainable engineering solutions,10+2 with Science stream
NIT Trichy,B.Tech,1000000,3,Jaipur,Known for mechanical engineering with strong industry ties,10+2 with JEE Advanced
NIT Trichy,B.Tech,200000,100,Vellore,Top-ranked dental college with advanced clinical training,10+2 with JEE Advanced
Delhi University,B.A English,700000,20,Hyderabad,Offers a blend of traditional and modern science education,10+2 with Science stream
Ethiraj College for Women,MBA,30000,20,Delhi,Top-ranked dental college with advanced clinical training,10+2 with VITEEE
Anna University,B.Com,30000,30,Mumbai,Offers diverse engineering programs with international exposure,10+2 with Science stream
Loyola College,B.E Mechanical,200000,3,Jaipur,Offers diverse engineering programs with international exposure,10+2 with NEET
Stella Maris College,M.Sc,50000,10,Pune,Excellence in arts and humanities with a focus on women's education,10+2 with NEET
Delhi University,B.E/B.Tech,100000,1,Kolkata,Leading commerce college promoting women's empowerment through education,10+2
BITS Pilani,M.Sc,50000,5,Mumbai,Premier engineering education with global recognition,10+2 with JEE Advanced
Loyola College,B.E Mechanical,30000,30,Hyderabad,Focus on emerging technologies with industry collaborations,10+2
Amity University,B.Sc Physics,70000,100,Coimbatore,Focus on sustainable engineering solutions,10+2 with TNEA
Stella Maris College,B.Sc Computer Sci,700000,20,Hyderabad,Offers diverse engineering programs with international exposure,10+2
VIT Vellore,B.Sc Computer Sci,700000,1,Coimbatore,Offers a blend of traditional and modern science education,10+2 with NEET
Delhi University,B.E/B.Tech,500000,4,Coimbatore,Known for mechanical engineering with strong industry ties,10+2 with NEET
BITS Pilani,B.Sc Physics,1500000,1,Pune,Leading commerce college promoting women's empowerment through education,10+2 with NEET
IIT Madras,B.Sc Computer Sci,30000,15,Vellore,Renowned for science programs with excellent placement opportunities,10+2 with TNEA
Anna University,B.Com,200000,1,Delhi,Offers diverse engineering programs with international exposure,10+2 with JEE Advanced
Ethiraj College for Women,B.Tech,70000,50,Pune,Offers diverse engineering programs with international exposure,10+2 with SRMJEEE
Madras Christian College,BDS,30000,1,Chennai,Premier engineering education with global recognition,10+2
PSG College of Technology,B.Sc Computer Sci,70000,4,Hyderabad,Excellence in arts and humanities with a focus on women's education,10+2 with JEE Advanced
Delhi University,BDS,30000,5,Bangalore,Strong emphasis on research and innovation in engineering,10+2
Stella Maris College,B.A English,700000,3,Pune,Focus on emerging technologies with industry collaborations,10+2 with JEE Advanced
Ethiraj College for Women,BDS,50000,4,Hyderabad,Offers a blend of traditional and modern science education,10+2 with SRMJEEE
NIT Trichy,B.A English,700000,30,Chennai,Known for mechanical engineering with strong industry ties,10+2 with SRMJEEE
Stella Maris College,B.Tech,100000,10,Coimbatore,Offers diverse engineering programs with international exposure,10+2 with VITEEE
BITS Pilani,B.E/B.Tech,500000,50,Delhi,Premier engineering education with global recognition,10+2 with TNEA
Stella Maris College,B.E/B.Tech,50000,3,Chennai,Renowned for science programs with excellent placement opportunities,10+2 with SRMJEEE
NIT Trichy,B.Tech,50000,3,Mumbai,Top-ranked dental college with advanced clinical training,10+2 with NEET
Stella Maris College,B.A English,70000,10,Vellore,Excellence in arts and humanities with a focus on women's education,10+2 with TNEA
Saveetha Dental College,MBA,1000000,3,Pune,Offers a blend of traditional and modern science education,10+2 with JEE Advanced
Stella Maris College,M.Sc,1000000,4,Kolkata,Excellence in arts and humanities with a focus on women's education,10+2 with JEE Advanced
Madras Christian College,B.Tech AI,3000000,1,Coimbatore,Premier engineering education with global recognition,10+2 with SRMJEEE
PSG College of Technology,B.A English,70000,10,Mumbai,Leading commerce college promoting women's empowerment through education,10+2 with NEET
Osmania University,BDS,30000,1,Jaipur,Focus on sustainable engineering solutions,10+2 with Science stream
NIT Trichy,B.Sc Computer Sci,100000,15,Chennai,Excellence in arts and humanities with a focus on women's education,10+2 with NEET
IIT Madras,B.A English,3000000,3,Jaipur,Offers cutting-edge research opportunities in AI,10+2
NIT Trichy,B.A English,100000,2,Delhi,Premier engineering education with global recognition,10+2 with SRMJEEE
Saveetha Dental College,M.Sc,70000,50,Hyderabad,Offers cutting-edge research opportunities in AI,10+2
Anna University,B.Tech AI,500000,30,Hyderabad,Offers cutting-edge research opportunities in AI,10+2 with Science stream
Stella Maris College,B.Com,30000,20,Delhi,Strong emphasis on research and innovation in engineering,10+2 with Science stream
PSG College of Technology,B.A English,100000,1,Jaipur,Excellence in arts and humanities with a focus on women's education,10+2 with TNEA
Amity University,B.Sc Computer Sci,30000,20,Vellore,Focus on sustainable engineering solutions,10+2 with Science stream
Saveetha Dental College,B.Tech,70000,3,Kolkata,Strong emphasis on research and innovation in engineering,10+2
BITS Pilani,B.E Mechanical,1500000,100,Pune,Renowned for science programs with excellent placement opportunities,10+2 with SRMJEEE
NIT Trichy,B.Com,1500000,3,Pune,Focus on emerging technologies with industry collaborations,10+2 with SRMJEEE
Delhi University,B.Tech AI,70000,50,Hyderabad,Excellence in arts and humanities with a focus on women's education,10+2
