name,courses,fees,ranking,location,scope,qualifications_required
Madras Christian College,B.Sc Computer Sci,1000000,20,Chennai,Focus on emerging technologies with industry collaborations,10+2 with SRMJEEE
Amity University,B.Tech,3000000,4,Hyderabad,Renowned for science programs with excellent placement opportunities,10+2 with TNEA
VIT Vellore,BDS,700000,1,Mumbai,Strong emphasis on research and innovation in engineering,10+2 with NEET
SRM Institute of Science and Technology,B.Tech AI,50000,4,Delhi,Focus on emerging technologies with industry collaborations,10+2
PSG College of Technology,B.Com,700000,50,Hyderabad,Renowned for science programs with excellent placement opportunities,10+2 with Science stream
Madras Christian College,MBA,70000,15,Mumbai,Offers a blend of traditional and modern science education,10+2
NIT Trichy,M.Sc,70000,1,Chennai,Top-ranked dental college with advanced clinical training,10+2 with JEE Advanced
NIT Trichy,B.Tech AI,50000,1,Delhi,Known for mechanical engineering with strong industry ties,10+2 with JEE Advanced
Delhi University,B.E Mechanical,200000,50,Pune,Excellence in arts and humanities with a focus on women's education,10+2 with NEET
Loyola College,B.Tech,3000000,4,Coimbatore,Offers diverse engineering programs with international exposure,10+2 with TNEA
Saveetha Dental College,B.Tech AI,700000,4,Jaipur,Offers a blend of traditional and modern science education,10+2 with VITEEE
PSG College of Technology,B.Tech,30000,20,Pune,Renowned for science programs with excellent placement opportunities,10+2 with NEET
VIT Vellore,B.E Mechanical,3000000,1,Kolkata,Offers cutting-edge research opportunities in AI,10+2 with Science stream
VIT Vellore,B.Tech,200000,15,Delhi,Leading commerce college promoting women's empowerment through education,10+2
Loyola College,B.Tech,70000,1,Kolkata,Strong emphasis on research and innovation in engineering,10+2 with NEET
IIT Madras,B.A English,1000000,1,Mumbai,Offers a blend of traditional and modern science education,10+2 with NEET
BITS Pilani,B.Tech AI,50000,50,Hyderabad,Premier engineering education with global recognition,10+2 with Science stream
NIT Trichy,B.A English,1500000,2,Coimbatore,Premier engineering education with global recognition,10+2 with TNEA
VIT Vellore,B.A English,500000,20,Chennai,Offers cutting-edge research opportunities in AI,10+2
Anna University,B.E Mechanical,1000000,100,Hyderabad,Offers a blend of traditional and modern science education,10+2 with SRMJEEE
VIT Vellore,BDS,70000,2,Jaipur,Known for mechanical engineering with strong industry ties,10+2 with Science stream
VIT Vellore,B.Tech AI,500000,5,Delhi,Offers diverse engineering programs with international exposure,10+2 with TNEA
VIT Vellore,B.Tech AI,200000,100,Kolkata,Offers diverse engineering programs with international exposure,10+2 with VITEEE
Osmania University,B.Sc Computer Sci,3000000,100,Bangalore,Offers diverse engineering programs with international exposure,10+2 with NEET
Delhi University,BDS,3000000,30,Chennai,Top-ranked dental college with advanced clinical training,10+2 with VITEEE
Loyola College,B.A English,500000,30,Delhi,Known for mechanical engineering with strong industry ties,10+2 with NEET
IIT Madras,B.A English,3000000,100,Pune,Strong emphasis on research and innovation in engineering,10+2 with SRMJEEE
Stella Maris College,B.Com,700000,20,Bangalore,Focus on emerging technologies with industry collaborations,10+2 with SRMJEEE
Stella Maris College,BDS,50000,10,Mumbai,Leading commerce college promoting women's empowerment through education,10+2 with SRMJEEE
Amity University,B.Tech,1000000,3,Delhi,Focus on emerging technologies with industry collaborations,10+2 with VITEEE
SRM Institute of Science and Technology,MBA,100000,10,Hyderabad,Premier engineering education with global recognition,10+2 with TNEA
NIT Trichy,B.E/B.Tech,700000,30,Bangalore,Premier engineering education with global recognition,10+2 with VITEEE
Loyola College,BDS,700000,1,Pune,Offers cutting-edge research opportunities in AI,10+2 with Science stream
Madras Christian College,B.Tech,3000000,10,Vellore,Excellence in arts and humanities with a focus on women's education,10+2 with SRMJEEE
Saveetha Dental College,B.Tech,200000,50,Delhi,Offers cutting-edge research opportunities in AI,10+2 with SRMJEEE
Madras Christian College,B.E/B.Tech,500000,1,Chennai,Focus on emerging technologies with industry collaborations,10+2 with JEE Advanced
IIT Madras,B.E/B.Tech,3000000,30,Hyderabad,Known for mechanical engineering with strong industry ties,10+2 with NEET
PSG College of Technology,B.E Mechanical,700000,30,Jaipur,Strong emphasis on research and innovation in engineering,10+2 with NEET
Saveetha Dental College,B.Tech,200000,30,Bangalore,Offers cutting-edge research opportunities in AI,10+2 with JEE Advanced
Amity University,M.Sc,50000,1,Mumbai,Focus on sustainable engineering solutions,10+2
Stella Maris College,B.Tech,100000,4,Bangalore,Premier engineering education with global recognition,10+2 with Science stream
Osmania University,B.E/B.Tech,500000,2,Kolkata,Offers diverse engineering programs with international exposure,10+2 with NEET
Anna University,B.Sc Physics,3000000,15,Hyderabad,Focus on emerging technologies with industry collaborations,10+2 with JEE Advanced
SRM Institute of Science and Technology,B.Tech AI,3000000,3,Bangalore,Premier engineering education with global recognition,10+2 with VITEEE
Loyola College,B.E/B.Tech,100000,5,Pune,Known for mechanical engineering with strong industry ties,10+2 with Science stream
Osmania University,B.E/B.Tech,1500000,5,Kolkata,Renowned for science programs with excellent placement opportunities,10+2 with SRMJEEE
NIT Trichy,BDS,1500000,4,Jaipur,Top-ranked dental college with advanced clinical training,10+2 with Science stream
Stella Maris College,B.Tech,30000,3,Chennai,Focus on emerging technologies with industry collaborations,10+2 with NEET
Stella Maris College,B.Com,1000000,10,Hyderabad,Premier engineering education with global recognition,10+2 with Science stream
Saveetha Dental College,B.Tech AI,1000000,20,Coimbatore,Excellence in arts and humanities with a focus on women's education,10+2 with VITEEE
Amity University,B.E/B.Tech,3000000,15,Delhi,Offers cutting-edge research opportunities in AI,10+2 with NEET
SRM Institute of Science and Technology,M.Sc,1000000,2,Coimbatore,Known for mechanical engineering with strong industry ties,10+2 with Science stream
Ethiraj College for Women,M.Sc,70000,2,Chennai,Strong emphasis on research and innovation in engineering,10+2 with NEET
Amity University,BDS,1000000,4,Hyderabad,Known for mechanical engineering with strong industry ties,10+2 with VITEEE
Osmania University,B.Tech AI,200000,30,Coimbatore,Offers diverse engineering programs with international exposure,10+2 with SRMJEEE
Delhi University,MBA,70000,15,Bangalore,Strong emphasis on research and innovation in engineering,10+2 with TNEA
Loyola College,B.A English,3000000,15,Coimbatore,Leading commerce college promoting women's empowerment through education,10+2 with VITEEE
NIT Trichy,B.Tech,700000,5,Bangalore,Offers diverse engineering programs with international exposure,10+2 with Science stream
Anna University,B.Com,500000,10,Mumbai,Focus on emerging technologies with industry collaborations,10+2 with TNEA
PSG College of Technology,B.Tech,1000000,10,Delhi,Focus on emerging technologies with industry collaborations,10+2 with JEE Advanced
Osmania University,B.Tech,50000,5,Delhi,Offers diverse engineering programs with international exposure,10+2 with NEET
SRM Institute of Science and Technology,B.Sc Physics,100000,15,Delhi,Focus on emerging technologies with industry collaborations,10+2 with SRMJEEE
IIT Madras,MBA,30000,10,Mumbai,Focus on sustainable engineering solutions,10+2
Osmania University,B.Tech,3000000,5,Coimbatore,Offers diverse engineering programs with international exposure,10+2 with Science stream
Ethiraj College for Women,BDS,1500000,15,Delhi,Known for mechanical engineering with strong industry ties,10+2 with Science stream
Anna University,B.Tech,100000,4,Hyderabad,Leading commerce college promoting women's empowerment through education,10+2 with NEET
Delhi University,B.Com,30000,3,Jaipur,Known for mechanical engineering with strong industry ties,10+2 with JEE Advanced
Madras Christian College,BDS,70000,15,Hyderabad,Offers diverse engineering programs with international exposure,10+2 with NEET
Delhi University,MBA,70000,30,Mumbai,Known for mechanical engineering with strong industry ties,10+2 with NEET
Anna University,B.Com,200000,1,Mumbai,Renowned for science programs with excellent placement opportunities,10+2 with Science stream
Ethiraj College for Women,B.Tech,100000,2,Chennai,Known for mechanical engineering with strong industry ties,10+2 with TNEA
Loyola College,BDS,30000,2,Kolkata,Offers a blend of traditional and modern science education,10+2 with VITEEE
SRM Institute of Science and Technology,B.Sc Computer Sci,3000000,3,Delhi,Known for mechanical engineering with strong industry ties,10+2 with TNEA
Madras Christian College,B.Tech,70000,3,Coimbatore,Strong emphasis on research and innovation in engineering,10+2 with JEE Advanced
Osmania University,B.E/B.Tech,3000000,3,Vellore,Offers cutting-edge research opportunities in AI,10+2
Saveetha Dental College,B.E/B.Tech,30000,2,Chennai,Offers cutting-edge research opportunities in AI,10+2 with Science stream
Delhi University,B.Sc Computer Sci,100000,5,Mumbai,Focus on sustainable engineering solutions,10+2 with TNEA
Madras Christian College,M.Sc,50000,2,Hyderabad,Top-ranked dental college with advanced clinical training,10+2 with NEET
BITS Pilani,BDS,100000,5,Pune,Offers a blend of traditional and modern science education,10+2 with Science stream
NIT Trichy,B.Tech AI,50000,2,Bangalore,Focus on sustainable engineering solutions,10+2 with VITEEE
Loyola College,B.Tech AI,50000,15,Chennai,Excellence in arts and humanities with a focus on women's education,10+2 with SRMJEEE
BITS Pilani,B.Sc Computer Sci,1000000,1,Pune,Top-ranked dental college with advanced clinical training,10+2
Loyola College,B.Tech AI,500000,100,Vellore,Top-ranked dental college with advanced clinical training,10+2 with Science stream
Saveetha Dental College,B.Tech AI,3000000,3,Coimbatore,Strong emphasis on research and innovation in engineering,10+2 with SRMJEEE
PSG College of Technology,B.E Mechanical,1000000,50,Bangalore,Leading commerce college promoting women's empowerment through education,10+2 with TNEA
Anna University,B.Tech,50000,5,Mumbai,Strong emphasis on research and innovation in engineering,10+2 with SRMJEEE
Anna University,B.Com,1000000,30,Hyderabad,Focus on sustainable engineering solutions,10+2
PSG College of Technology,B.E/B.Tech,100000,1,Chennai,Offers diverse engineering programs with international exposure,10+2 with SRMJEEE
Loyola College,B.A English,30000,20,Chennai,Excellence in arts and humanities with a focus on women's education,10+2 with TNEA
Loyola College,B.E/B.Tech,1000000,4,Mumbai,Focus on emerging technologies with industry collaborations,10+2 with NEET
Amity University,B.A English,70000,5,Kolkata,Top-ranked dental college with advanced clinical training,10+2 with TNEA
Loyola College,MBA,3000000,1,Coimbatore,Offers diverse engineering programs with international exposure,10+2
Stella Maris College,M.Sc,70000,30,Chennai,Offers a blend of traditional and modern science education,10+2 with NEET
Saveetha Dental College,MBA,500000,5,Bangalore,Offers cutting-edge research opportunities in AI,10+2 with SRMJEEE
SRM Institute of Science and Technology,B.A English,30000,100,Mumbai,Premier engineering education with global recognition,10+2
Amity University,B.Sc Physics,1000000,15,Hyderabad,Top-ranked dental college with advanced clinical training,10+2 with TNEA
NIT Trichy,B.E Mechanical,50000,1,Chennai,Offers diverse engineering programs with international exposure,10+2
Delhi University,B.Tech,100000,30,Pune,Premier engineering education with global recognition,10+2 with TNEA
SRM Institute of Science and Technology,B.Tech AI,1000000,2,Mumbai,Leading commerce college promoting women's empowerment through education,10+2 with JEE Advanced
IIT Madras,M.Sc,700000,2,Kolkata,Offers cutting-edge research opportunities in AI,10+2 with NEET
Loyola College,B.E/B.Tech,700000,10,Kolkata,Focus on emerging technologies with industry collaborations,10+2
VIT Vellore,M.Sc,1000000,5,Vellore,Renowned for science programs with excellent placement opportunities,10+2 with NEET
Ethiraj College for Women,M.Sc,70000,100,Kolkata,Premier engineering education with global recognition,10+2 with SRMJEEE
Loyola College,B.Com,100000,30,Mumbai,Excellence in arts and humanities with a focus on women's education,10+2 with SRMJEEE
IIT Madras,B.Tech,30000,2,Pune,Offers cutting-edge research opportunities in AI,10+2 with Science stream
Anna University,B.A English,700000,1,Bangalore,Excellence in arts and humanities with a focus on women's education,10+2 with SRMJEEE
BITS Pilani,B.Tech,200000,20,Mumbai,Top-ranked dental college with advanced clinical training,10+2 with Science stream
Loyola College,M.Sc,3000000,30,Delhi,Leading commerce college promoting women's empowerment through education,10+2
Amity University,B.E/B.Tech,70000,100,Coimbatore,Focus on sustainable engineering solutions,10+2 with NEET
Anna University,B.A English,500000,15,Delhi,Offers diverse engineering programs with international exposure,10+2 with NEET
NIT Trichy,BDS,1000000,1,Hyderabad,Offers cutting-edge research opportunities in AI,10+2 with JEE Advanced
IIT Madras,B.Sc Computer Sci,200000,30,Mumbai,Top-ranked dental college with advanced clinical training,10+2 with VITEEE
Ethiraj College for Women,BDS,200000,10,Chennai,Offers diverse engineering programs with international exposure,10+2 with JEE Advanced
PSG College of Technology,B.Sc Physics,100000,4,Jaipur,Premier engineering education with global recognition,10+2 with Science stream
BITS Pilani,B.A English,50000,50,Coimbatore,Leading commerce college promoting women's empowerment through education,10+2 with Science stream
Ethiraj College for Women,M.Sc,1000000,1,Kolkata,Focus on emerging technologies with industry collaborations,10+2 with SRMJEEE
Stella Maris College,B.E/B.Tech,700000,5,Chennai,Offers a blend of traditional and modern science education,10+2 with JEE Advanced
Madras Christian College,MBA,30000,30,Hyderabad,Offers diverse engineering programs with international exposure,10+2 with JEE Advanced
Delhi University,B.Tech,500000,4,Jaipur,Focus on sustainable engineering solutions,10+2 with JEE Advanced
NIT Trichy,MBA,100000,15,Pune,Premier engineering education with global recognition,10+2 with VITEEE
VIT Vellore,B.Sc Physics,700000,5,Bangalore,Known for mechanical engineering with strong industry ties,10+2 with JEE Advanced
Osmania University,B.Sc Computer Sci,1000000,2,Vellore,Leading commerce college promoting women's empowerment through education,10+2 with TNEA
Stella Maris College,B.Tech AI,700000,30,Coimbatore,Focus on sustainable engineering solutions,10+2 with VITEEE
Osmania University,B.E Mechanical,70000,30,Delhi,Offers a blend of traditional and modern science education,10+2 with TNEA
Anna University,B.Tech,70000,5,Hyderabad,Focus on emerging technologies with industry collaborations,10+2 with NEET
IIT Madras,B.A English,700000,10,Delhi,Leading commerce college promoting women's empowerment through education,10+2 with VITEEE
Madras Christian College,MBA,1500000,3,Bangalore,Focus on sustainable engineering solutions,10+2 with JEE Advanced
Anna University,B.Sc Computer Sci,1000000,4,Jaipur,Renowned for science programs with excellent placement opportunities,10+2 with NEET
Ethiraj College for Women,B.Sc Physics,70000,100,Jaipur,Leading commerce college promoting women's empowerment through education,10+2 with SRMJEEE
Delhi University,B.Tech AI,500000,20,Hyderabad,Offers diverse engineering programs with international exposure,10+2 with SRMJEEE
VIT Vellore,M.Sc,200000,3,Hyderabad,Excellence in arts and humanities with a focus on women's education,10+2 with TNEA
Saveetha Dental College,M.Sc,700000,5,Delhi,Excellence in arts and humanities with a focus on women's education,10+2 with TNEA
Loyola College,B.Sc Computer Sci,1000000,15,Mumbai,Offers a blend of traditional and modern science education,10+2 with NEET
Loyola College,B.Tech AI,1500000,20,Jaipur,Offers cutting-edge research opportunities in AI,10+2 with Science stream
BITS Pilani,B.Tech,200000,50,Delhi,Known for mechanical engineering with strong industry ties,10+2 with TNEA
Osmania University,B.Com,50000,3,Delhi,Leading commerce college promoting women's empowerment through education,10+2
Saveetha Dental College,BDS,200000,50,Hyderabad,Renowned for science programs with excellent placement opportunities,10+2
Osmania University,B.Sc Computer Sci,700000,1,Coimbatore,Focus on sustainable engineering solutions,10+2
BITS Pilani,B.Sc Computer Sci,200000,2,Delhi,Strong emphasis on research and innovation in engineering,10+2 with NEET
IIT Madras,BDS,30000,3,Chennai,Offers diverse engineering programs with international exposure,10+2
Delhi University,MBA,3000000,2,Mumbai,Leading commerce college promoting women's empowerment through education,10+2 with NEET
Loyola College,MBA,1500000,30,Pune,Leading commerce college promoting women's empowerment through education,10+2 with Science stream
NIT Trichy,BDS,100000,50,Hyderabad,Leading commerce college promoting women's empowerment through education,10+2 with VITEEE
VIT Vellore,BDS,30000,2,Pune,Offers a blend of traditional and modern science education,10+2 with NEET
IIT Madras,B.Tech,1500000,3,Coimbatore,Top-ranked dental college with advanced clinical training,10+2 with VITEEE
Ethiraj College for Women,B.Tech AI,500000,30,Hyderabad,Focus on sustainable engineering solutions,10+2 with TNEA
Stella Maris College,B.Tech,100000,1,Mumbai,Top-ranked dental college with advanced clinical training,10+2 with VITEEE
Anna University,MBA,1000000,10,Chennai,Leading commerce college promoting women's empowerment through education,10+2 with Science stream
Loyola College,B.A English,50000,2,Mumbai,Excellence in arts and humanities with a focus on women's education,10+2 with NEET
Madras Christian College,M.Sc,500000,4,Hyderabad,Known for mechanical engineering with strong industry ties,10+2 with NEET
VIT Vellore,B.Tech,500000,15,Vellore,Renowned for science programs with excellent placement opportunities,10+2 with JEE Advanced
Anna University,B.E/B.Tech,30000,3,Bangalore,Known for mechanical engineering with strong industry ties,10+2
Delhi University,B.Sc Computer Sci,100000,2,Jaipur,Focus on emerging technologies with industry collaborations,10+2
BITS Pilani,B.Tech,200000,50,Pune,Known for mechanical engineering with strong industry ties,10+2
NIT Trichy,MBA,3000000,2,Kolkata,Top-ranked dental college with advanced clinical training,10+2 with SRMJEEE
Delhi University,B.E/B.Tech,500000,10,Vellore,Focus on sustainable engineering solutions,10+2 with SRMJEEE
PSG College of Technology,MBA,500000,30,Jaipur,Known for mechanical engineering with strong industry ties,10+2 with TNEA
SRM Institute of Science and Technology,B.Sc Physics,100000,1,Chennai,Focus on sustainable engineering solutions,10+2 with Science stream
SRM Institute of Science and Technology,B.E Mechanical,200000,4,Pune,Strong emphasis on research and innovation in engineering,10+2 with VITEEE
IIT Madras,B.E/B.Tech,50000,10,Coimbatore,Premier engineering education with global recognition,10+2
Ethiraj College for Women,B.Sc Physics,3000000,2,Mumbai,Excellence in arts and humanities with a focus on women's education,10+2 with SRMJEEE
SRM Institute of Science and Technology,B.Sc Physics,200000,10,Vellore,Offers cutting-edge research opportunities in AI,10+2 with Science stream
Loyola College,MBA,50000,4,Pune,Strong emphasis on research and innovation in engineering,10+2 with TNEA
IIT Madras,BDS,3000000,100,Bangalore,Focus on sustainable engineering solutions,10+2 with Science stream
VIT Vellore,MBA,200000,10,Chennai,Leading commerce college promoting women's empowerment through education,10+2 with TNEA
Anna University,MBA,100000,50,Coimbatore,Focus on sustainable engineering solutions,10+2 with Science stream
Anna University,B.Tech,3000000,1,Chennai,Known for mechanical engineering with strong industry ties,10+2
NIT Trichy,B.Sc Computer Sci,30000,3,Coimbatore,Known for mechanical engineering with strong industry ties,10+2
Anna University,B.E/B.Tech,1000000,2,Jaipur,Offers diverse engineering programs with international exposure,10+2 with SRMJEEE
